transaction_id,user_id,product_id,quantity,price,date
1,103,6,4,521,2024-03-25
2,118,17,5,36,2024-03-25
3,102,6,5,222,2024-03-20
4,105,3,1,186,2024-03-21
5,103,1,5,864,2024-03-23
6,109,16,4,519,2024-03-12
7,102,3,1,87,2024-03-21
8,109,12,2,700,2024-03-25
9,120,11,4,295,2024-03-07
10,115,11,2,658,2024-03-18
11,104,1,3,243,2024-03-07
12,107,12,5,691,2024-03-22
13,110,11,5,137,2024-03-20
14,109,5,4,93,2024-03-03
15,102,10,5,81,2024-03-12
16,102,10,1,926,2024-03-11
17,119,7,1,373,2024-03-29
18,110,2,5,909,2024-03-13
19,108,5,4,977,2024-03-09
20,113,16,5,899,2024-03-19
21,107,2,5,585,2024-03-27
22,107,6,2,772,2024-03-01
23,118,16,3,305,2024-03-09
24,103,12,2,434,2024-03-03
25,110,10,1,159,2024-03-28
26,115,19,1,61,2024-03-31
27,108,11,5,529,2024-03-13
28,116,3,2,951,2024-03-08
29,120,20,5,142,2024-03-19
30,107,10,1,946,2024-03-22
31,109,1,1,240,2024-03-28
32,102,15,4,755,2024-03-07
33,115,9,3,900,2024-03-14
34,103,14,4,674,2024-03-06
35,104,6,2,298,2024-03-16
36,118,7,2,931,2024-03-04
37,110,14,1,209,2024-03-13
38,110,4,3,540,2024-03-29
39,109,11,2,363,2024-03-28
40,114,7,3,190,2024-03-03
41,115,1,2,394,2024-03-26
42,118,17,3,676,2024-03-24
43,118,19,4,390,2024-03-19
44,118,20,2,148,2024-03-15
45,119,5,3,398,2024-03-03
46,111,10,3,364,2024-03-16
47,118,2,1,387,2024-03-29
48,118,5,3,473,2024-03-18
49,106,16,4,616,2024-03-13
50,111,7,2,306,2024-03-08
51,105,17,4,574,2024-03-17
52,112,11,1,191,2024-03-25
53,120,6,1,972,2024-03-20
54,117,4,5,423,2024-03-06
55,103,18,4,989,2024-03-05
56,117,7,2,590,2024-03-17
57,102,1,1,949,2024-03-04
58,101,10,5,747,2024-03-24
59,112,1,5,209,2024-03-29
60,112,20,1,105,2024-03-23
61,115,17,3,442,2024-03-08
62,120,13,5,660,2024-03-18
63,113,12,4,271,2024-03-10
64,118,12,5,125,2024-03-18
65,106,15,4,61,2024-03-05
66,118,3,5,265,2024-03-06
67,118,1,2,223,2024-03-30
68,120,16,1,98,2024-03-19
69,107,3,3,803,2024-03-27
